3,30,NA,0.0038,7.1375,0.5217,1.1414,234,251,248.9492
3,97,12.2773,0.0295,173.4167,0.1014,2.8606,204,243,237.0938
10,144,59.6563,0.0733,566.8209,0.0274,3.7527,180,?,216.4922
2,153,23.4492,0.0514,595.8793,0.1139,8.9658,161,241,227.7656
2,119,12.082,0.0357,286.2708,0.1026,8.7363,186,241,234.8555
4,65,15.9688,0.0236,84.4083,0.0863,2.7662,227,246,241.2344
2,95,15.2148,0.0368,258.8583,0.0902,3.0224,209,253,244.6836
6,139,33.9648,0.0713,631.9625,0.0302,11.1786,184,240,224.0313
42,159,101.8555,0.0615,375.9,0.0316,3.6002,191,224,201.5898
11,153,54.9297,0.0918,880.5958,0.0237,3.9148,184,243,220.7422
10,143,70.5547,0.0479,227.1,0.0378,3.3857,178,245,206.1016
2,120,16.082,0.0413,392.1208,0.0961,2.9945,204,250,242.0039
7,118,41.1797,0.0486,274.5833,0.0395,10.2549,135,233,199.1094
2,21,4.0586,0.0033,4.6417,0.4841,1.1516,240,255,249.8438
7,97,20.2109,0.03,130.2333,0.0636,3.0171,197,246,237.8203
5,144,27.0195,0.0591,538.9,0.0397,3.5521,187,246,233.1328
7,91,25.6641,0.0403,266.9459,0.065,9.5634,192,237,225.2227
5,176,53.1094,0.0987,1288.9708,0.0249,3.9939,168,251,223.2227
7,122,29.9023,0.0601,441.9375,0.0378,3.5419,197,246,232.6328
47,221,125.4492,0.1125,1242.8458,0.0216,12.0051,135,210,168.1211
3,152,21.0352,0.0396,249.0417,0.0532,3.2232,198,249,239.9805
5,240,72.793,0.143,2208.5168,0.0177,4.2344,168,249,216.6797
4,71,15.0313,0.026,124.8333,0.0943,8.4288,210,241,235.0117
6,167,65.9844,0.0916,917.9167,0.0229,11.8776,159,240,204.5313
7,135,36.2227,0.0585,425.4126,0.0343,10.7778,179,242,225.8789
4,195,53.8164,0.0879,1037.5459,0.027,3.9222,186,250,226.6445
5,130,31.7852,0.0509,407.8292,0.057,3.3554,202,246,234.3242
5,169,39.3125,0.072,868.6791,0.0431,10.8345,77,237,203.2266
5,103,10.2656,0.0127,74.0583,0.433,1.5578,197,249,245.4648
5,56,9.1563,0.0101,32.6667,0.2477,5.6667,212,237,234.7891
7,205,96.7656,0.0883,890.475,0.0241,11.757,155,239,189.6523
7,171,73.6289,0.08,740.1833,0.0255,11.5017,151,236,193.3711
1,30,2.6094,0.0068,19.4958,0.3549,1.4974,236,250,248.3047
NA,177,43.0898,0.1078,1329.1333,0.0207,4.0559,184,250,227.4492
17,166,79.8828,0.0999,998.5709,0.0215,11.9676,119,228,174.6563
12,137,51.0352,0.072,584.0667,0.028,11.2305,167,233,210.4688
7,82,22.8125,0.038,205.9708,0.0563,9.567,198,240,230.6133
6,168,49.3633,0.075,718.3375,0.031,11.1708,180,247,223.5664
2,37,3.9688,0.0073,22.9667,0.3842,1.544,231,254,251.2969
6,135,56.3633,0.0805,749.2582,0.0265,11.565,165,241,208.1563
5,97,21.7852,0.0391,227.6583,0.0538,9.6045,191,235,225.25
2,19,2.2461,0.0017,4.1667,0.7647,0.5668,240,249,248.418
3,135,41.9063,0.079,690.3291,0.0259,11.502,167,239,213.7188
9,147,34.7109,0.0557,390.6625,0.0402,10.4829,174,239,223.8047
5,216,67.8633,0.1121,1719.0831,0.0259,3.9728,170,245,215.2891
7,120,37.2461,0.0545,400.5667,0.0418,10.584,179,239,221.7539
3,10,3.25,0.001,0.7708,0.7467,0.5507,244,248,246.9883
5,151,23.0742,0.0395,366.2625,0.098,8.847,156,236,222.9531
1,58,9.5625,0.0328,158.4333,0.0648,3.0717,224,250,245.9805
3,57,7.3477,0.0147,67.3208,0.2262,2.11,217,252,247.5938
9,141,48.4844,0.0798,701.4626,0.026,11.565,189,246,226.5469
3,135,27.293,0.0681,659.5043,0.0403,3.6024,185,250,235.8516
5,199,24.082,0.046,377.0042,0.0601,3.253,170,247,234.7109
4,46,8.6211,0.0117,25.6583,0.1656,2.1082,215,246,237.9766
5,213,NA,0.0781,701.7667,0.027,11.4378,153,237,190.1406
1,164,9.1016,0.0239,398.3125,0.4696,1.4957,186,250,243.6953
7,170,72.9219,0.1108,1265.1292,0.0201,12.2562,143,237,193.1367
5,199,90.0664,0.105,1170.2292,0.0201,12.1995,151,235,187.7969
3,12,3.4453,0.0011,0.5208,0.6727,0.6575,241,249,246.7813
2,126,21.0586,0.0406,308.3583,0.0684,9.5106,174,240,227.5859
1,162,19.5078,0.0475,646.5125,0.2263,2.4817,198,253,244.3008
5,122,21.7578,0.0352,217.4709,0.0659,3.0695,205,246,238.5742
5,169,60.9102,0.0964,1006.0501,0.022,11.9928,155,237,202.3008
7,134,45.6914,0.0808,752.5624,0.0286,11.3907,171,245,220.9219
1,4,1.2266,0.0011,0.3458,0.6255,0.6486,250,252,251.5586
4,93,19.9805,0.0235,93.7375,0.1048,8.166,184,239,228.0781
6,164,78.375,0.061,405.325,0.031,10.8705,131,236,180.3594
2,31,3.2344,0.0029,5.5583,0.5087,0.9464,234,253,250.5547
10,161,60.4297,0.0745,589.8209,0.0266,11.3364,170,243,213.9102
4,115,23.5625,0.0481,334.6917,0.046,10.1856,178,240,228.1953
3,108,21.3086,0.0616,496.3333,0.0354,3.63,197,250,239.7617
7,200,57.082,0.1108,1404.3376,0.0211,4.0353,172,246,221.125
4,94,17.5625,0.0357,212,0.0617,9.3264,186,234,226.668
5,205,84.6445,0.1056,1245.9875,0.0221,12.1128,159,239,198.4531
2,5,3.0039,0.0006,0.1792,0.7368,0.4623,247,249,248.0234
6,181,73.2891,0.0972,1046.5958,0.0217,12.0618,152,234,194.8008
3,37,6.1211,0.0112,28.5292,0.1862,2.0815,235,253,250.4141
5,23,7.0664,0.0062,8.1,0.2775,1.677,234,245,243.4844
5,170,33.3945,0.063,663.4084,0.0471,10.5597,161,236,218.9219
2,19,3.2383,0.0028,3.3625,0.4943,1.0711,239,249,247.0039
5,205,99.9414,0.1065,1388.9626,0.0221,12.1467,152,236,186.0313
7,166,79.1953,0.0908,832.1459,0.0232,11.8014,129,236,184.6719
4,144,28.6445,0.0533,383.5667,0.0395,10.4547,163,234,220.2539
2,83,5.5898,0.0117,60.2958,0.3911,1.6752,210,253,249.6172
2,3,2.0039,0,0.0042,0.9917,0.027,247,250,248.3203
3,111,17.8164,0.0331,167.1458,0.0639,3.0648,186,241,232.7109
4,24,5.332,0.0037,4.3083,0.3931,1.2993,235,247,245.4297
3,52,13.3203,0.0209,65.2042,0.0938,2.6676,215,247,239.6445
6,158,54.6758,0.0455,261.1667,0.0462,10.0584,135,237,200.1289
3,169,57.9648,0.0844,802.8417,0.0263,11.5686,153,237,203.0938
11,158,47.8906,0.0711,541.6167,0.0274,3.7574,164,242,220.3672
5,116,57.4102,0.0376,142.475,0.0491,3.1488,173,243,202.9336
10,163,67.668,0.1012,1031.3042,0.0204,12.1197,169,245,212.0195
9,149,52.8516,0.069,545.2167,0.0307,11.0988,160,236,207.9727
11,153,68.3281,0.0682,483.3875,0.0291,11.0166,168,243,209.9297
4,146,23.6484,0.0569,513.575,0.0432,3.47,185,250,237.8672
12,186,114.2969,0.0904,843.9,0.0223,11.8359,122,231,169.7031
4,139,41.207,0.0755,641.1833,0.0262,3.8179,194,251,232.6094
5,118,35.6602,0.0539,355.0542,0.0385,10.5135,174,237,219.3516
